Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","Problem - 44J - Codeforces","http://codeforces.com/problemset/problem/44/J","../codeforces.com\problemset\problem\44\J.html","HTML","18048","","200 OK","0",""
"Parsed","Problem - 45G - Codeforces","http://codeforces.com/problemset/problem/45/G","../codeforces.com\problemset\problem\45\G.html","HTML","14691","","200 OK","0",""
"Parsed","Problem - 45E - Codeforces","http://codeforces.com/problemset/problem/45/E","../codeforces.com\problemset\problem\45\E.html","HTML","16006","","200 OK","0",""
"Parsed","Problem - 46F - Codeforces","http://codeforces.com/problemset/problem/46/F","../codeforces.com\problemset\problem\46\F.html","HTML","18363","","200 OK","0",""
"Parsed","Problem - 47E - Codeforces","http://codeforces.com/problemset/problem/47/E","../codeforces.com\problemset\problem\47\E.html","HTML","18974","","200 OK","0",""
"Parsed","Problem - 49E - Codeforces","http://codeforces.com/problemset/problem/49/E","../codeforces.com\problemset\problem\49\E.html","HTML","16942","","200 OK","0",""
"Parsed","Problem - 51F - Codeforces","http://codeforces.com/problemset/problem/51/F","../codeforces.com\problemset\problem\51\F.html","HTML","17854","","200 OK","0",""
"Parsed","Problem - 53E - Codeforces","http://codeforces.com/problemset/problem/53/E","../codeforces.com\problemset\problem\53\E.html","HTML","16648","","200 OK","0",""
"Parsed","Problem - 57D - Codeforces","http://codeforces.com/problemset/problem/57/D","../codeforces.com\problemset\problem\57\D.html","HTML","16254","","200 OK","0",""
"Parsed","Problem - 226E - Codeforces","http://codeforces.com/problemset/problem/226/E","../codeforces.com\problemset\problem\226\E.html","HTML","20712","","200 OK","0",""
"Parsed","Problem - 217D - Codeforces","http://codeforces.com/problemset/problem/217/D","../codeforces.com\problemset\problem\217\D.html","HTML","18905","","200 OK","0",""
"Parsed","Problem - 67E - Codeforces","http://codeforces.com/problemset/problem/67/E","../codeforces.com\problemset\problem\67\E.html","HTML","17327","","200 OK","0",""
"Parsed","Problem - 67C - Codeforces","http://codeforces.com/problemset/problem/67/C","../codeforces.com\problemset\problem\67\C.html","HTML","15571","","200 OK","0",""
"Parsed","Problem - 70D - Codeforces","http://codeforces.com/problemset/problem/70/D","../codeforces.com\problemset\problem\70\D.html","HTML","15789","","200 OK","0",""
"Parsed","Problem - 70E - Codeforces","http://codeforces.com/problemset/problem/70/E","../codeforces.com\problemset\problem\70\E.html","HTML","16563","","200 OK","0",""
"Parsed","Problem - 156E - Codeforces","http://codeforces.com/problemset/problem/156/E","../codeforces.com\problemset\problem\156\E.html","HTML","22501","","200 OK","0",""
"Parsed","Problem - 105D - Codeforces","http://codeforces.com/problemset/problem/105/D","../codeforces.com\problemset\problem\105\D.html","HTML","18259","","200 OK","0",""
"Parsed","Problem - 193D - Codeforces","http://codeforces.com/problemset/problem/193/D","../codeforces.com\problemset\problem\193\D.html","HTML","18282","","200 OK","0",""
"Parsed","Problem - 75E - Codeforces","http://codeforces.com/problemset/problem/75/E","../codeforces.com\problemset\problem\75\E.html","HTML","17195","","200 OK","0",""
"Parsed","Problem - 76F - Codeforces","http://codeforces.com/problemset/problem/76/F","../codeforces.com\problemset\problem\76\F.html","HTML","17078","","200 OK","0",""
"Parsed","Problem - 76A - Codeforces","http://codeforces.com/problemset/problem/76/A","../codeforces.com\problemset\problem\76\A.html","HTML","18519","","200 OK","0",""
"Parsed","Problem - 77E - Codeforces","http://codeforces.com/problemset/problem/77/E","../codeforces.com\problemset\problem\77\E.html","HTML","17001","","200 OK","0",""
"Parsed","Problem - 79D - Codeforces","http://codeforces.com/problemset/problem/79/D","../codeforces.com\problemset\problem\79\D.html","HTML","17494","","200 OK","0",""
"Parsed","Problem - 81E - Codeforces","http://codeforces.com/problemset/problem/81/E","../codeforces.com\problemset\problem\81\E.html","HTML","17099","","200 OK","0",""
"Parsed","Problem - 82E - Codeforces","http://codeforces.com/problemset/problem/82/E","../codeforces.com\problemset\problem\82\E.html","HTML","15897","","200 OK","0",""
"Parsed","Problem - 83E - Codeforces","http://codeforces.com/problemset/problem/83/E","../codeforces.com\problemset\problem\83\E.html","HTML","18057","","200 OK","0",""
"Parsed","Problem - 85E - Codeforces","http://codeforces.com/problemset/problem/85/E","../codeforces.com\problemset\problem\85\E.html","HTML","18723","","200 OK","0",""
"Parsed","Problem - 86E - Codeforces","http://codeforces.com/problemset/problem/86/E","../codeforces.com\problemset\problem\86\E.html","HTML","18919","","200 OK","0",""
"Parsed","Problem - 89D - Codeforces","http://codeforces.com/problemset/problem/89/D","../codeforces.com\problemset\problem\89\D.html","HTML","19371","","200 OK","0",""
"Parsed","Problem - 91D - Codeforces","http://codeforces.com/problemset/problem/91/D","../codeforces.com\problemset\problem\91\D.html","HTML","18678","","200 OK","0",""
"Parsed","Problem - 93D - Codeforces","http://codeforces.com/problemset/problem/93/D","../codeforces.com\problemset\problem\93\D.html","HTML","15511","","200 OK","0",""
"Parsed","Problem - 97C - Codeforces","http://codeforces.com/problemset/problem/97/C","../codeforces.com\problemset\problem\97\C.html","HTML","20085","","200 OK","0",""
"Parsed","Problem - 97A - Codeforces","http://codeforces.com/problemset/problem/97/A","../codeforces.com\problemset\problem\97\A.html","HTML","17330","","200 OK","0",""
"Parsed","Problem - 98D - Codeforces","http://codeforces.com/problemset/problem/98/D","../codeforces.com\problemset\problem\98\D.html","HTML","16895","","200 OK","0",""
"Parsed","Problem - 98C - Codeforces","http://codeforces.com/problemset/problem/98/C","../codeforces.com\problemset\problem\98\C.html","HTML","16806","","200 OK","0",""
"Parsed","Problem - 191D - Codeforces","http://codeforces.com/problemset/problem/191/D","../codeforces.com\problemset\problem\191\D.html","HTML","17470","","200 OK","0",""
"Parsed","Problem - 164D - Codeforces","http://codeforces.com/problemset/problem/164/D","../codeforces.com\problemset\problem\164\D.html","HTML","14803","","200 OK","0",""
"Parsed","Problem - 150E - Codeforces","http://codeforces.com/problemset/problem/150/E","../codeforces.com\problemset\problem\150\E.html","HTML","19378","","200 OK","0",""
"Parsed","Problem - 101E - Codeforces","http://codeforces.com/problemset/problem/101/E","../codeforces.com\problemset\problem\101\E.html","HTML","16565","","200 OK","0",""
"Parsed","Problem - 103E - Codeforces","http://codeforces.com/problemset/problem/103/E","../codeforces.com\problemset\problem\103\E.html","HTML","15931","","200 OK","0",""
"Parsed","Problem - 105E - Codeforces","http://codeforces.com/problemset/problem/105/E","../codeforces.com\problemset\problem\105\E.html","HTML","17333","","200 OK","0",""
"Parsed","Problem - 107D - Codeforces","http://codeforces.com/problemset/problem/107/D","../codeforces.com\problemset\problem\107\D.html","HTML","16338","","200 OK","0",""
"Parsed","Problem - 113D - Codeforces","http://codeforces.com/problemset/problem/113/D","../codeforces.com\problemset\problem\113\D.html","HTML","17935","","200 OK","0",""
"Parsed","Problem - 115D - Codeforces","http://codeforces.com/problemset/problem/115/D","../codeforces.com\problemset\problem\115\D.html","HTML","17175","","200 OK","0",""
"Parsed","Problem - 120I - Codeforces","http://codeforces.com/problemset/problem/120/I","../codeforces.com\problemset\problem\120\I.html","HTML","16015","","200 OK","0",""
"Parsed","Problem - 123E - Codeforces","http://codeforces.com/problemset/problem/123/E","../codeforces.com\problemset\problem\123\E.html","HTML","16971","","200 OK","0",""
"Parsed","Problem - 125E - Codeforces","http://codeforces.com/problemset/problem/125/E","../codeforces.com\problemset\problem\125\E.html","HTML","15484","","200 OK","0",""
"Parsed","Problem - 193E - Codeforces","http://codeforces.com/problemset/problem/193/E","../codeforces.com\problemset\problem\193\E.html","HTML","16510","","200 OK","0",""
"Parsed","Problem - 145D - Codeforces","http://codeforces.com/problemset/problem/145/D","../codeforces.com\problemset\problem\145\D.html","HTML","17535","","200 OK","0",""
"Parsed","Problem - 132E - Codeforces","http://codeforces.com/problemset/problem/132/E","../codeforces.com\problemset\problem\132\E.html","HTML","15638","","200 OK","0",""
"Parsed","Problem - 138D - Codeforces","http://codeforces.com/problemset/problem/138/D","../codeforces.com\problemset\problem\138\D.html","HTML","16169","","200 OK","0",""
"Parsed","Problem - 140F - Codeforces","http://codeforces.com/problemset/problem/140/F","../codeforces.com\problemset\problem\140\F.html","HTML","16897","","200 OK","0",""
"Parsed","Problem - 147B - Codeforces","http://codeforces.com/problemset/problem/147/B","../codeforces.com\problemset\problem\147\B.html","HTML","16897","","200 OK","0",""
"Parsed","Problem - 152D - Codeforces","http://codeforces.com/problemset/problem/152/D","../codeforces.com\problemset\problem\152\D.html","HTML","16763","","200 OK","0",""
"Parsed","Problem - 183D - Codeforces","http://codeforces.com/problemset/problem/183/D","../codeforces.com\problemset\problem\183\D.html","HTML","18813","","200 OK","0",""
"Parsed","Problem - 217E - Codeforces","http://codeforces.com/problemset/problem/217/E","../codeforces.com\problemset\problem\217\E.html","HTML","18670","","200 OK","0",""
"Parsed","Problem - 135E - Codeforces","http://codeforces.com/problemset/problem/135/E","../codeforces.com\problemset\problem\135\E.html","HTML","15970","","200 OK","0",""
"Parsed","Problem - 163D - Codeforces","http://codeforces.com/problemset/problem/163/D","../codeforces.com\problemset\problem\163\D.html","HTML","17189","","200 OK","0",""
"Parsed","Problem - 167E - Codeforces","http://codeforces.com/problemset/problem/167/E","../codeforces.com\problemset\problem\167\E.html","HTML","18294","","200 OK","0",""
"Parsed","Problem - 232D - Codeforces","http://codeforces.com/problemset/problem/232/D","../codeforces.com\problemset\problem\232\D.html","HTML","18379","","200 OK","0",""
"Parsed","Problem - 175E - Codeforces","http://codeforces.com/problemset/problem/175/E","../codeforces.com\problemset\problem\175\E.html","HTML","17476","","200 OK","0",""
"Parsed","Problem - 176D - Codeforces","http://codeforces.com/problemset/problem/176/D","../codeforces.com\problemset\problem\176\D.html","HTML","17925","","200 OK","0",""
"Parsed","Problem - 178F2 - Codeforces","http://codeforces.com/problemset/problem/178/F2","../codeforces.com\problemset\problem\178\F2.html","HTML","17488","","200 OK","0",""
"Parsed","Problem - 178E3 - Codeforces","http://codeforces.com/problemset/problem/178/E3","../codeforces.com\problemset\problem\178\E3.html","HTML","16834","","200 OK","0",""
"Parsed","Problem - 180B - Codeforces","http://codeforces.com/problemset/problem/180/B","../codeforces.com\problemset\problem\180\B.html","HTML","20788","","200 OK","0",""
"Parsed","Problem - 185D - Codeforces","http://codeforces.com/problemset/problem/185/D","../codeforces.com\problemset\problem\185\D.html","HTML","17255","","200 OK","0",""
"Parsed","Problem - 187D - Codeforces","http://codeforces.com/problemset/problem/187/D","../codeforces.com\problemset\problem\187\D.html","HTML","18471","","200 OK","0",""
"Parsed","Problem - 176E - Codeforces","http://codeforces.com/problemset/problem/176/E","../codeforces.com\problemset\problem\176\E.html","HTML","18776","","200 OK","0",""
"Parsed","Problem - 196D - Codeforces","http://codeforces.com/problemset/problem/196/D","../codeforces.com\problemset\problem\196\D.html","HTML","18555","","200 OK","0",""
"Parsed","Problem - 198E - Codeforces","http://codeforces.com/problemset/problem/198/E","../codeforces.com\problemset\problem\198\E.html","HTML","18754","","200 OK","0",""
"Parsed","Problem - 200E - Codeforces","http://codeforces.com/problemset/problem/200/E","../codeforces.com\problemset\problem\200\E.html","HTML","19563","","200 OK","0",""
"Parsed","Problem - 200A - Codeforces","http://codeforces.com/problemset/problem/200/A","../codeforces.com\problemset\problem\200\A.html","HTML","18514","","200 OK","0",""
"Parsed","Problem - 201E - Codeforces","http://codeforces.com/problemset/problem/201/E","../codeforces.com\problemset\problem\201\E.html","HTML","16984","","200 OK","0",""
"Parsed","Problem - 201D - Codeforces","http://codeforces.com/problemset/problem/201/D","../codeforces.com\problemset\problem\201\D.html","HTML","21091","","200 OK","0",""
"Parsed","Problem - 204E - Codeforces","http://codeforces.com/problemset/problem/204/E","../codeforces.com\problemset\problem\204\E.html","HTML","17220","","200 OK","0",""
"Parsed","Problem - 207B1 - Codeforces","http://codeforces.com/problemset/problem/207/B1","../codeforces.com\problemset\problem\207\B1.html","HTML","17895","","200 OK","0",""
"Parsed","Problem - 207A2 - Codeforces","http://codeforces.com/problemset/problem/207/A2","../codeforces.com\problemset\problem\207\A2.html","HTML","19862","","200 OK","0",""
"Parsed","Problem - 167D - Codeforces","http://codeforces.com/problemset/problem/167/D","../codeforces.com\problemset\problem\167\D.html","HTML","21665","","200 OK","0",""
"Parsed","Problem - 209C - Codeforces","http://codeforces.com/problemset/problem/209/C","../codeforces.com\problemset\problem\209\C.html","HTML","15864","","200 OK","0",""
"Parsed","Problem - 212B - Codeforces","http://codeforces.com/problemset/problem/212/B","../codeforces.com\problemset\problem\212\B.html","HTML","16734","","200 OK","0",""
"Parsed","Problem - 212D - Codeforces","http://codeforces.com/problemset/problem/212/D","../codeforces.com\problemset\problem\212\D.html","HTML","18411","","200 OK","0",""
"Parsed","Problem - 212C - Codeforces","http://codeforces.com/problemset/problem/212/C","../codeforces.com\problemset\problem\212\C.html","HTML","14773","","200 OK","0",""
"Parsed","Problem - 213E - Codeforces","http://codeforces.com/problemset/problem/213/E","../codeforces.com\problemset\problem\213\E.html","HTML","17060","","200 OK","0",""
"Parsed","Problem - 217C - Codeforces","http://codeforces.com/problemset/problem/217/C","../codeforces.com\problemset\problem\217\C.html","HTML","17127","","200 OK","0",""
"Parsed","Problem - 229E - Codeforces","http://codeforces.com/problemset/problem/229/E","../codeforces.com\problemset\problem\229\E.html","HTML","17412","","200 OK","0",""
"Saved","","http://stat.codeforces.ru/favicon.png","../stat.codeforces.ru\favicon.png","Images","3764","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://stat.codeforces.ru/css/prettify.css","../stat.codeforces.ru\css\prettify.css","HTML","679","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://codeforces.ru/static/combine/81d5459d81d074fc8d55b62d42856e2f_afb7247773e175c6194b5a4dbff89aeb.css","../codeforces.ru\static\combine\81d5459d81d074fc8d55b62d42856e2f_afb7247773e175c6194b5a4dbff89aeb.css","HTML","35991","Mon, 24 Sep 2012 12:07:56 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://stat.codeforces.ru/markitup/skins/markitup/style.css","../stat.codeforces.ru\markitup\skins\markitup\style.css","HTML","3811","Thu, 01 Nov 2012 18:50:32 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://stat.codeforces.ru/markitup/sets/markdown/style.css","../stat.codeforces.ru\markitup\sets\markdown\style.css","HTML","1972","Thu, 01 Nov 2012 18:50:33 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://yandex.st/share/share.js","../yandex.st\share\share.js","HTML","42421","Thu, 08 Nov 2012 16:54:02 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://codeforces.ru/static/combine/eeae61f38a42b29407204616d93d8e8_aa3a566ac2a84e49a8e02f83d509fffe.css","../codeforces.ru\static\combine\eeae61f38a42b29407204616d93d8e8_aa3a566ac2a84e49a8e02f83d509fffe.css","HTML","1078","Sat, 21 Apr 2012 10:54:33 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Parsed","","http://codeforces.ru/static/combine/92a6f5c66e500b5c1433eae7d3f371bb_5dc6637756ba9e44d6304b6267b72667.js","../codeforces.ru\static\combine\92a6f5c66e500b5c1433eae7d3f371bb_5dc6637756ba9e44d6304b6267b72667.js","HTML","361185","Mon, 28 May 2012 10:22:14 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://stat.codeforces.ru/images/codeforces-logo-with-upper-beta.png","../stat.codeforces.ru\images\codeforces-logo-with-upper-beta.png","Images","5449","Thu, 01 Nov 2012 18:50:33 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://stat.codeforces.ru/images/vkontakte-tiny-en.png","../stat.codeforces.ru\images\vkontakte-tiny-en.png","Images","1113","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://stat.codeforces.ru/images/flags/24/gb.png","../stat.codeforces.ru\images\flags\24\gb.png","Images","1177","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://stat.codeforces.ru/images/flags/24/ru.png","../stat.codeforces.ru\images\flags\24\ru.png","Images","403","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://stat.codeforces.ru/images/icons/cup.png","../stat.codeforces.ru\images\icons\cup.png","Images","721","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://stat.codeforces.ru/images/icons/close-10x10.png","../stat.codeforces.ru\images\icons\close-10x10.png","Images","217","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/7/E"
"Saved","","http://codeforces.ru/renderer/5945210be972aa5fe947f3b8a3a0378a4cade844.png","../codeforces.ru\renderer\5945210be972aa5fe947f3b8a3a0378a4cade844.png","Images","57223","","200 OK","1","http://codeforces.com/problemset/problem/15/E"
"Saved","). In each of the following","http://codeforces.ru/renderer/1d3312b9ecb4aaef4f6998ba33bc1bc6dcfac529.png","../codeforces.ru\renderer\1d3312b9ecb4aaef4f6998ba33bc1bc6dcfac529.png","Images","2011","","200 OK","1","http://codeforces.com/problemset/problem/30/E"
"Saved","","http://codeforces.ru/renderer/a2e55f559e9a49a5990b00b92e0c65ec696f919f.png","../codeforces.ru\renderer\a2e55f559e9a49a5990b00b92e0c65ec696f919f.png","Images","12263","","200 OK","1","http://codeforces.com/problemset/problem/35/E"
"Saved","","http://codeforces.ru/renderer/ad29ae51c90ec4c521da69cb508ccd76ca47c427.png","../codeforces.ru\renderer\ad29ae51c90ec4c521da69cb508ccd76ca47c427.png","Images","9036","","200 OK","1","http://codeforces.com/problemset/problem/51/F"
"Saved","Figure 1","http://codeforces.ru/renderer/8ab057f41d423b3339f90c344d965665b0bf77f7.png","../codeforces.ru\renderer\8ab057f41d423b3339f90c344d965665b0bf77f7.png","Images","62836","","200 OK","1","http://codeforces.com/problemset/problem/67/E"
"Saved","Figure 2","http://codeforces.ru/renderer/8e4bc51fd12f13b98ca02dc1f541b4d30934bcfd.png","../codeforces.ru\renderer\8e4bc51fd12f13b98ca02dc1f541b4d30934bcfd.png","Images","7587","","200 OK","1","http://codeforces.com/problemset/problem/67/E"
"Saved","(where","http://codeforces.ru/renderer/86ea62c3906295d11ece4457098162f25554cfce.png","../codeforces.ru\renderer\86ea62c3906295d11ece4457098162f25554cfce.png","Images","2305","","200 OK","1","http://codeforces.com/problemset/problem/156/E"
"Saved","","http://codeforces.ru/renderer/00faa8a119f84adddad8e7b746b0017b60853202.png","../codeforces.ru\renderer\00faa8a119f84adddad8e7b746b0017b60853202.png","Images","9292","","200 OK","1","http://codeforces.com/problemset/problem/105/D"
"Saved","","http://codeforces.ru/renderer/7c7f7c047d2705882eb2c90aa91dbbf79bad460b.png","../codeforces.ru\renderer\7c7f7c047d2705882eb2c90aa91dbbf79bad460b.png","Images","9154","","200 OK","1","http://codeforces.com/problemset/problem/105/D"
"Saved",".","http://codeforces.ru/renderer/32b60774ba82efe4c54c149a4e105457250b9e70.png","../codeforces.ru\renderer\32b60774ba82efe4c54c149a4e105457250b9e70.png","Images","619","","200 OK","1","http://codeforces.com/problemset/problem/76/A"
"Saved","","http://codeforces.ru/renderer/54abbcf91aa117a747b9594510c35e56d24a4919.png","../codeforces.ru\renderer\54abbcf91aa117a747b9594510c35e56d24a4919.png","Images","9084","","200 OK","1","http://codeforces.com/problemset/problem/77/E"
"Saved","","http://codeforces.ru/renderer/157a674fa95e6af1767e8ae9c3ceb0360ebf6953.png","../codeforces.ru\renderer\157a674fa95e6af1767e8ae9c3ceb0360ebf6953.png","Images","10464","","200 OK","1","http://codeforces.com/problemset/problem/77/E"
"Saved","","http://212.193.37.254/codeforces/images/yandex-algorithm-en-logo.png","../212.193.37.254\codeforces\images\yandex-algorithm-en-logo.png","Images","6427","Thu, 19 May 2011 20:33:57 GMT","200 OK","1","http://codeforces.com/problemset/problem/81/E"
"Saved","","http://codeforces.ru/renderer/b9824efb53ecbb31ebd292a3d20e943f23e5d0a0.png","../codeforces.ru\renderer\b9824efb53ecbb31ebd292a3d20e943f23e5d0a0.png","Images","2716","","200 OK","1","http://codeforces.com/problemset/problem/81/E"
"Saved","","http://codeforces.ru/renderer/ced3b0fa41e8bf1b3d7c0e07fced915381deba66.png","../codeforces.ru\renderer\ced3b0fa41e8bf1b3d7c0e07fced915381deba66.png","Images","11082","","200 OK","1","http://codeforces.com/problemset/problem/82/E"
"Saved","such that","http://codeforces.ru/renderer/2cdbe5188f89f0cd5a6bb906a85007cdc9ecda4d.png","../codeforces.ru\renderer\2cdbe5188f89f0cd5a6bb906a85007cdc9ecda4d.png","Images","3124","","200 OK","1","http://codeforces.com/problemset/problem/86/E"
"Saved","","http://codeforces.ru/renderer/8cd12d7f32f9643743c31b47fc71a1ba6095bea2.png","../codeforces.ru\renderer\8cd12d7f32f9643743c31b47fc71a1ba6095bea2.png","Images","6958","","200 OK","1","http://codeforces.com/problemset/problem/86/E"
"Saved","","http://codeforces.ru/renderer/f4e31f159f54bb2babba64d7f3c5ce95e75726c3.png","../codeforces.ru\renderer\f4e31f159f54bb2babba64d7f3c5ce95e75726c3.png","Images","7499","","200 OK","1","http://codeforces.com/problemset/problem/86/E"
"Saved","(transporting long-spiked mines is problematic), where","http://codeforces.ru/renderer/b4b3d4433e777169187118a6d083925c684ce5d4.png","../codeforces.ru\renderer\b4b3d4433e777169187118a6d083925c684ce5d4.png","Images","2691","","200 OK","1","http://codeforces.com/problemset/problem/89/D"
"Saved",").","http://codeforces.ru/renderer/f4179366e34279f458b034b0d6aa6b3ff47c3b00.png","../codeforces.ru\renderer\f4179366e34279f458b034b0d6aa6b3ff47c3b00.png","Images","2728","","200 OK","1","http://codeforces.com/problemset/problem/89/D"
"Saved",". Initially the Death Star and the mines do not have common points.","http://codeforces.ru/renderer/4b43405b4f58190fcef47e0d379f743565af4423.png","../codeforces.ru\renderer\4b43405b4f58190fcef47e0d379f743565af4423.png","Images","3331","","200 OK","1","http://codeforces.com/problemset/problem/89/D"
"Saved",". Your task is to choose sequence","http://codeforces.ru/renderer/38ca30450ecc6c938b273b8b2bcd77d1135b220b.png","../codeforces.ru\renderer\38ca30450ecc6c938b273b8b2bcd77d1135b220b.png","Images","4780","","200 OK","1","http://codeforces.com/problemset/problem/97/C"
"Saved","so that the limit","http://codeforces.ru/renderer/fca563f5585177fc694cfc79f5b85afeeb16c150.png","../codeforces.ru\renderer\fca563f5585177fc694cfc79f5b85afeeb16c150.png","Images","2011","","200 OK","1","http://codeforces.com/problemset/problem/97/C"
"Saved","","http://codeforces.ru/renderer/537d024db3ee23780c0f8489c21a46554705dd19.png","../codeforces.ru\renderer\537d024db3ee23780c0f8489c21a46554705dd19.png","Images","4325","","200 OK","1","http://codeforces.com/problemset/problem/97/C"
"Saved","","http://codeforces.ru/renderer/b54cb889849719f758a64d05ccf5bdf0ee7d9750.png","../codeforces.ru\renderer\b54cb889849719f758a64d05ccf5bdf0ee7d9750.png","Images","371255","","200 OK","1","http://codeforces.com/problemset/problem/97/A"
"Saved","","http://codeforces.ru/renderer/f81e179e45635db94c1427d73eaebd2224f438b0.png","../codeforces.ru\renderer\f81e179e45635db94c1427d73eaebd2224f438b0.png","Images","4934","","200 OK","1","http://codeforces.com/problemset/problem/98/C"
"Saved","","http://codeforces.ru/renderer/fee27810ffd11c63c9a9bd0c83c5ca4437188ee8.png","../codeforces.ru\renderer\fee27810ffd11c63c9a9bd0c83c5ca4437188ee8.png","Images","4337","","200 OK","1","http://codeforces.com/problemset/problem/191/D"
"Saved","","http://stat.codeforces.ru/images/vkcup2012-2.png","../stat.codeforces.ru\images\vkcup2012-2.png","Images","9401","Thu, 01 Nov 2012 18:50:35 GMT","200 OK","1","http://codeforces.com/problemset/problem/164/D"
